time,model_id,model_name,port_name,data,,,,,,,,,,,,,
0,1,(1,3),,<0,0,0,0,0>,,,,,,,,
0,2,(2,2),,<0,0,0,0,0>,,,,,,,,
0,3,(4,3),,<500,2,0,0,0>,,,,,,,,
0,4,(3,3),,<0,0,0,0,0>,,,,,,,,
0,5,(4,1),,<500,2,0,0,0>,,,,,,,,
0,6,(1,1),,<0,0,0,0,0>,,,,,P8,,P6,
0,7,(2,1),,<0,1,0,0,0>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),,<0,0,0,0,0>,,,,,,,,
0,10,(1,2),,<0,0,0,0,0>,,,,,,,,
0,11,(4,2),,<1,0,0,0,0>,,,,,,,,
0,12,(2,3),,<0,1,0,0,0>,,,,,,,,
0,13,(0,0),,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,19,(4,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),,<0,0,0,0,0>,,,,,,,,
0,23,(4,4),,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),,<500,2,0,0,0>,,,,,,,,
0,1,(1,3),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,1,(1,3),,<0,0,0,0,0>,,,,,,,,
0,2,(2,2),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,2,(2,2),,<0,0,0,0,0>,,,,,,,,
0,3,(4,3),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,3,(4,3),,<500,2,0,0,0>,,,,,,,,
0,4,(3,3),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
0,5,(4,1),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,5,(4,1),,<500,2,0,0,0>,,,,,,,,
0,6,(1,1),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,6,(1,1),,<0,0,0,0,0>,,,,,,,,
0,7,(2,1),outputNeighborhood,<0,1,0,0,0>,,,,,,,,
0,7,(2,1),,<0,1,0,0,0>,,,,,,,,
0,8,(3,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,9,(3,2),,<2,0,0,0,0>,,,,,,,,
0,10,(1,2),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,10,(1,2),,<0,0,0,0,0>,,,,,,,,
0,11,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,,
0,11,(4,2),,<1,0,0,0,0>,,,,,,,,
0,12,(2,3),outputNeighborhood,<0,1,0,0,0>,,,,,,,,
0,12,(2,3),,<0,1,0,0,0>,,,,,,,,
0,13,(0,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,13,(0,0),,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,19,(4,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,19,(4,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
0,23,(4,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,23,(4,4),,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),,<500,2,0,0,0>,,,,,,,,
0,2,(2,2),,<3,0,0,0,0>,,,,,,,,
0,3,(4,3),,<500,2,0,0,0>,,,,,,,,
0,4,(3,3),outputNeighborhood,<2.5,0,0,0,0>,,,,,,,,
0,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
0,5,(4,1),,<500,2,0,0,0>,,,,,,,,
0,7,(2,1),,<3.5,1,0,0,0>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),outputNeighborhood,<2,0,0,0,0>,,,,,,,,
0,9,(3,2),,<2,0,0,0,0>,,,,,,,,
0,11,(4,2),,<1,0,0,0,0>,,,,,,,,
0,12,(2,3),,<3.5,1,0,0,0>,,,,,,,,
0,19,(4,0),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),outputNeighborhood,<2.5,0,0,0,0>,,,,,,,,
0,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
